id,url_id,user_id,event_type,timestamp,details
1,1,1,created,2025-02-15 09:17:02,"{""short_code"":""gl0NAL"",""original_url"":""https://relay.cloud/cobalt/yard/1""}"
2,2,92,created,2026-01-23 00:07:56,"{""short_code"":""dMfDz4"",""original_url"":""https://hackstack.io/lively/engine/2""}"
3,3,191,created,2026-02-20 19:53:02,"{""short_code"":""cAWBs3"",""original_url"":""https://opswise.net/gold/field/3""}"
4,4,145,created,2025-10-06 21:47:39,"{""short_code"":""txEiq2"",""original_url"":""https://hackstack.io/keen/meadow/4""}"
5,5,13,created,2026-01-06 11:25:59,"{""short_code"":""kd950G"",""original_url"":""https://relay.cloud/rapid/journey/5""}"
6,6,366,created,2025-05-04 12:52:20,"{""short_code"":""qX6ilV"",""original_url"":""https://hackstack.io/silver/pioneer/6""}"
7,7,37,created,2025-10-26 06:26:15,"{""short_code"":""iVKS6m"",""original_url"":""https://hackstack.io/lively/kernel/7""}"
8,8,42,created,2026-01-24 01:12:00,"{""short_code"":""nA39pY"",""original_url"":""https://example.com/quiet/harvest/8""}"
9,9,306,created,2025-04-02 22:31:45,"{""short_code"":""KXg2rY"",""original_url"":""https://seeded.app/keen/orbit/9""}"
10,10,192,created,2025-04-19 22:30:00,"{""short_code"":""sTF1TI"",""original_url"":""https://hackstack.io/harbor/uplink/10""}"
11,11,267,created,2025-05-12 21:05:51,"{""short_code"":""MjGTvW"",""original_url"":""https://hackstack.io/urban/network/11""}"
12,12,384,created,2026-01-24 20:50:26,"{""short_code"":""HWQDW8"",""original_url"":""https://hackstack.io/vivid/engine/12""}"
13,13,97,created,2025-01-24 12:29:37,"{""short_code"":""hyOYIc"",""original_url"":""https://opswise.net/ember/signal/13""}"
14,14,358,created,2026-01-14 13:13:10,"{""short_code"":""ogwe4j"",""original_url"":""https://acme.dev/jade/orbit/14""}"
15,15,321,created,2025-06-07 02:01:49,"{""short_code"":""WjyqLM"",""original_url"":""https://relay.cloud/amber/zenith/15""}"
16,16,215,created,2025-04-15 22:43:13,"{""short_code"":""ncULQd"",""original_url"":""https://hackstack.io/amber/journey/16""}"
17,17,388,created,2025-08-03 11:41:14,"{""short_code"":""vWKIpx"",""original_url"":""https://acme.dev/forest/orbit/17""}"
18,18,26,created,2025-02-23 22:51:51,"{""short_code"":""DVSDsI"",""original_url"":""https://seeded.app/urban/journey/18""}"
19,19,213,created,2025-02-18 09:47:03,"{""short_code"":""R3EVXH"",""original_url"":""https://example.com/tidy/canyon/19""}"
20,20,119,created,2025-07-15 08:55:45,"{""short_code"":""4U48K9"",""original_url"":""https://acme.dev/lively/network/20""}"
21,21,11,created,2025-05-03 23:00:49,"{""short_code"":""SoAgT0"",""original_url"":""https://opswise.net/gold/harvest/21""}"
22,22,202,created,2025-08-04 22:06:01,"{""short_code"":""17ZkVL"",""original_url"":""https://opswise.net/opal/beacon/22""}"
23,23,214,created,2026-02-08 20:56:13,"{""short_code"":""htJ9Td"",""original_url"":""https://acme.dev/lively/field/23""}"
24,24,170,created,2025-12-25 08:52:57,"{""short_code"":""C00A8p"",""original_url"":""https://relay.cloud/amber/engine/24""}"
25,25,295,created,2025-01-04 01:16:28,"{""short_code"":""0pUGc6"",""original_url"":""https://opswise.net/proud/signal/25""}"
26,26,222,created,2025-10-04 09:47:25,"{""short_code"":""hiH4Ux"",""original_url"":""https://opswise.net/proud/journey/26""}"
27,27,137,created,2025-06-13 17:17:23,"{""short_code"":""08scoR"",""original_url"":""https://opswise.net/young/signal/27""}"
28,28,161,created,2026-01-22 21:26:35,"{""short_code"":""oYUtc4"",""original_url"":""https://hackstack.io/forest/yard/28""}"
29,29,142,created,2026-02-15 17:23:05,"{""short_code"":""VL0pcu"",""original_url"":""https://seeded.app/rapid/trail/29""}"
30,30,55,created,2025-09-12 10:34:14,"{""short_code"":""4GouRu"",""original_url"":""https://relay.cloud/warm/trail/30""}"
31,31,395,created,2025-11-05 12:30:55,"{""short_code"":""9uHgP9"",""original_url"":""https://acme.dev/dawn/engine/31""}"
32,32,184,created,2025-11-16 10:08:26,"{""short_code"":""NYNY1o"",""original_url"":""https://example.com/silver/uplink/32""}"
33,33,351,created,2025-07-04 07:43:32,"{""short_code"":""tgHOYX"",""original_url"":""https://seeded.app/opal/uplink/33""}"
34,34,322,created,2025-11-25 15:01:39,"{""short_code"":""RcDly4"",""original_url"":""https://seeded.app/gold/window/34""}"
35,35,383,created,2025-10-11 02:13:48,"{""short_code"":""JWC8nf"",""original_url"":""https://opswise.net/warm/window/35""}"
36,36,380,created,2025-11-10 08:56:28,"{""short_code"":""K05b1N"",""original_url"":""https://example.com/mellow/orbit/36""}"
37,37,319,created,2025-04-11 17:43:22,"{""short_code"":""qVckNV"",""original_url"":""https://example.com/calm/meadow/37""}"
38,38,86,created,2025-01-03 07:54:46,"{""short_code"":""XznOF7"",""original_url"":""https://hackstack.io/clear/pioneer/38""}"
39,39,237,created,2025-09-26 12:54:53,"{""short_code"":""HjMI23"",""original_url"":""https://seeded.app/navy/pioneer/39""}"
40,40,195,created,2026-02-11 03:46:03,"{""short_code"":""PQe8ys"",""original_url"":""https://relay.cloud/rapid/delta/40""}"
41,41,65,created,2025-09-13 02:03:52,"{""short_code"":""sTNxhz"",""original_url"":""https://relay.cloud/urban/field/41""}"
42,42,213,created,2025-12-12 16:52:35,"{""short_code"":""5uDyOq"",""original_url"":""https://acme.dev/tidy/valley/42""}"
43,43,384,created,2025-03-30 12:16:17,"{""short_code"":""Qa4rP1"",""original_url"":""https://acme.dev/clear/anchor/43""}"
44,44,55,created,2025-04-17 23:12:43,"{""short_code"":""7LOsFX"",""original_url"":""https://example.com/vivid/lagoon/44""}"
45,45,377,created,2025-08-08 12:13:45,"{""short_code"":""hnltvc"",""original_url"":""https://relay.cloud/gold/uplink/45""}"
46,46,289,created,2025-04-06 18:11:33,"{""short_code"":""sftP3D"",""original_url"":""https://hackstack.io/proud/garden/46""}"
47,47,52,created,2026-02-07 08:19:05,"{""short_code"":""NVoxlL"",""original_url"":""https://relay.cloud/harbor/anchor/47""}"
48,48,323,created,2025-05-10 19:37:34,"{""short_code"":""PcOtim"",""original_url"":""https://opswise.net/tidy/yard/48""}"
49,49,329,created,2025-08-15 21:33:17,"{""short_code"":""1HFXrh"",""original_url"":""https://relay.cloud/cobalt/orbit/49""}"
50,50,350,created,2025-12-02 01:54:31,"{""short_code"":""GrWP5c"",""original_url"":""https://hackstack.io/proud/delta/50""}"
51,51,384,created,2025-08-01 11:02:47,"{""short_code"":""obXrmc"",""original_url"":""https://opswise.net/silver/quartz/51""}"
52,52,85,created,2025-05-02 08:51:59,"{""short_code"":""MpT26s"",""original_url"":""https://opswise.net/warm/zenith/52""}"
53,53,89,created,2025-07-04 14:48:56,"{""short_code"":""4CTbkc"",""original_url"":""https://acme.dev/lively/island/53""}"
54,54,119,created,2025-01-07 21:53:38,"{""short_code"":""zI5ols"",""original_url"":""https://example.com/brisk/journey/54""}"
55,55,392,created,2026-02-19 07:46:42,"{""short_code"":""p9LDrY"",""original_url"":""https://relay.cloud/warm/anchor/55""}"
56,56,281,created,2025-01-28 22:54:35,"{""short_code"":""xSoCcd"",""original_url"":""https://acme.dev/mellow/signal/56""}"
57,57,132,created,2025-05-02 05:10:01,"{""short_code"":""1jfP1J"",""original_url"":""https://opswise.net/lively/quartz/57""}"
58,58,93,created,2025-11-22 01:10:54,"{""short_code"":""Cxfy7v"",""original_url"":""https://example.com/quiet/field/58""}"
59,59,381,created,2025-10-09 04:56:54,"{""short_code"":""vBaIQg"",""original_url"":""https://example.com/amber/pioneer/59""}"
60,60,178,created,2025-02-06 10:28:11,"{""short_code"":""0ZUJJ9"",""original_url"":""https://opswise.net/vivid/zenith/60""}"
61,61,225,created,2025-01-10 06:21:51,"{""short_code"":""kLwtV3"",""original_url"":""https://relay.cloud/keen/canyon/61""}"
62,62,178,created,2025-12-14 23:37:36,"{""short_code"":""o5AiW5"",""original_url"":""https://seeded.app/gold/harvest/62""}"
63,63,377,created,2025-05-21 12:28:43,"{""short_code"":""pmDwGm"",""original_url"":""https://opswise.net/forest/harvest/63""}"
64,64,85,created,2025-09-07 06:24:42,"{""short_code"":""osjyRk"",""original_url"":""https://acme.dev/quiet/zenith/64""}"
65,65,393,created,2026-02-17 22:51:29,"{""short_code"":""YTrtJu"",""original_url"":""https://relay.cloud/ember/island/65""}"
66,66,223,created,2025-09-24 15:59:25,"{""short_code"":""yrh7cs"",""original_url"":""https://example.com/dawn/field/66""}"
67,67,251,created,2025-08-07 07:25:28,"{""short_code"":""s6gRgT"",""original_url"":""https://seeded.app/tidy/pioneer/67""}"
68,68,52,created,2025-05-14 10:42:44,"{""short_code"":""3U2AfE"",""original_url"":""https://seeded.app/brisk/uplink/68""}"
69,69,10,created,2025-11-04 07:07:42,"{""short_code"":""zdncjP"",""original_url"":""https://opswise.net/urban/pioneer/69""}"
70,70,359,created,2025-08-23 14:32:24,"{""short_code"":""RWVM8y"",""original_url"":""https://hackstack.io/brisk/island/70""}"
71,71,290,created,2025-12-26 16:51:50,"{""short_code"":""B6JGWf"",""original_url"":""https://opswise.net/proud/orbit/71""}"
72,72,166,created,2025-01-03 11:00:09,"{""short_code"":""N88Kfs"",""original_url"":""https://seeded.app/silver/yard/72""}"
73,73,246,created,2025-04-07 16:51:49,"{""short_code"":""ZGrCdb"",""original_url"":""https://acme.dev/quiet/meadow/73""}"
74,74,67,created,2025-12-16 08:22:36,"{""short_code"":""ZdmcxA"",""original_url"":""https://relay.cloud/harbor/kernel/74""}"
75,75,382,created,2025-03-16 05:11:30,"{""short_code"":""qPqtzj"",""original_url"":""https://hackstack.io/quiet/field/75""}"
76,76,211,created,2025-08-19 23:59:42,"{""short_code"":""5J2Ot4"",""original_url"":""https://opswise.net/clear/quartz/76""}"
77,77,85,created,2025-10-22 07:41:50,"{""short_code"":""9ikHO5"",""original_url"":""https://acme.dev/navy/orbit/77""}"
78,78,170,created,2025-11-12 12:20:11,"{""short_code"":""7oTxyl"",""original_url"":""https://relay.cloud/brisk/valley/78""}"
79,79,86,created,2025-04-12 23:18:40,"{""short_code"":""n25wun"",""original_url"":""https://seeded.app/tidy/pioneer/79""}"
80,80,240,created,2025-01-08 19:27:11,"{""short_code"":""OOFjvK"",""original_url"":""https://relay.cloud/rapid/uplink/80""}"
81,81,319,created,2025-03-19 19:48:20,"{""short_code"":""o6tQf5"",""original_url"":""https://example.com/ember/pioneer/81""}"
82,82,368,created,2026-01-21 16:50:04,"{""short_code"":""YUyzRu"",""original_url"":""https://seeded.app/keen/valley/82""}"
83,83,213,created,2025-12-07 01:42:05,"{""short_code"":""SIhKsB"",""original_url"":""https://seeded.app/ember/garden/83""}"
84,84,179,created,2025-12-25 11:11:02,"{""short_code"":""95dVPQ"",""original_url"":""https://example.com/clear/yard/84""}"
85,85,232,created,2025-12-27 02:17:37,"{""short_code"":""hn77Xs"",""original_url"":""https://seeded.app/gold/beacon/85""}"
86,86,31,created,2025-07-08 09:43:32,"{""short_code"":""iSIiXT"",""original_url"":""https://hackstack.io/brisk/journey/86""}"
87,87,383,created,2025-11-27 07:20:14,"{""short_code"":""GbHhKb"",""original_url"":""https://seeded.app/dawn/zenith/87""}"
88,88,205,created,2026-02-02 23:03:25,"{""short_code"":""cENYZ6"",""original_url"":""https://example.com/lively/canyon/88""}"
89,89,58,created,2025-10-02 07:34:44,"{""short_code"":""xrsL2w"",""original_url"":""https://example.com/jade/pioneer/89""}"
90,90,391,created,2025-11-03 03:01:16,"{""short_code"":""E8mDE9"",""original_url"":""https://seeded.app/calm/canyon/90""}"
91,91,130,created,2025-05-10 03:45:13,"{""short_code"":""iHp02l"",""original_url"":""https://example.com/tidy/uplink/91""}"
92,92,271,created,2026-01-30 12:15:00,"{""short_code"":""nlHlEm"",""original_url"":""https://relay.cloud/urban/harvest/92""}"
93,93,380,created,2025-07-14 04:00:10,"{""short_code"":""wfTYIE"",""original_url"":""https://relay.cloud/young/meadow/93""}"
94,94,202,created,2025-03-19 16:04:49,"{""short_code"":""nyTtJY"",""original_url"":""https://relay.cloud/cobalt/anchor/94""}"
95,95,262,created,2025-02-18 14:43:28,"{""short_code"":""1juVre"",""original_url"":""https://acme.dev/quiet/garden/95""}"
96,96,295,created,2025-05-13 10:09:51,"{""short_code"":""NE4EiE"",""original_url"":""https://hackstack.io/jade/uplink/96""}"
97,97,130,created,2025-06-15 22:11:30,"{""short_code"":""eRh1kj"",""original_url"":""https://acme.dev/opal/lagoon/97""}"
98,98,340,created,2026-01-25 10:26:06,"{""short_code"":""GgF1JP"",""original_url"":""https://seeded.app/quiet/river/98""}"
99,99,342,created,2025-11-25 08:17:34,"{""short_code"":""XTJJor"",""original_url"":""https://seeded.app/rapid/window/99""}"
100,100,242,created,2025-02-02 15:43:41,"{""short_code"":""aPzqMv"",""original_url"":""https://acme.dev/clear/field/100""}"
101,101,209,created,2025-02-01 19:27:31,"{""short_code"":""RI9JFw"",""original_url"":""https://relay.cloud/rapid/garden/101""}"
102,102,291,created,2025-03-24 17:01:04,"{""short_code"":""K0BSPh"",""original_url"":""https://example.com/silver/quartz/102""}"
103,103,259,created,2025-03-07 03:47:19,"{""short_code"":""TXa3pl"",""original_url"":""https://example.com/harbor/island/103""}"
104,104,123,created,2025-04-24 06:09:42,"{""short_code"":""nwySgx"",""original_url"":""https://relay.cloud/harbor/yard/104""}"
105,105,238,created,2025-12-03 09:49:38,"{""short_code"":""ir6PAr"",""original_url"":""https://acme.dev/ivory/valley/105""}"
106,106,281,created,2025-09-26 06:32:46,"{""short_code"":""XmDpkG"",""original_url"":""https://acme.dev/cobalt/delta/106""}"
107,107,245,created,2026-01-25 13:43:54,"{""short_code"":""Y85DZF"",""original_url"":""https://example.com/proud/lagoon/107""}"
108,108,64,created,2025-01-28 17:47:05,"{""short_code"":""SS6wiz"",""original_url"":""https://hackstack.io/jade/trail/108""}"
109,109,390,created,2025-10-06 17:51:45,"{""short_code"":""owrW1i"",""original_url"":""https://relay.cloud/young/field/109""}"
110,110,74,created,2025-11-10 06:04:52,"{""short_code"":""LUC5CL"",""original_url"":""https://opswise.net/calm/river/110""}"
111,111,114,created,2025-03-18 00:40:55,"{""short_code"":""y3ZHJd"",""original_url"":""https://seeded.app/quiet/field/111""}"
112,112,387,created,2025-03-26 15:21:24,"{""short_code"":""kLgbTj"",""original_url"":""https://acme.dev/brisk/trail/112""}"
113,113,6,created,2025-07-24 12:54:49,"{""short_code"":""bmM8wp"",""original_url"":""https://relay.cloud/tidy/valley/113""}"
114,114,234,created,2025-08-19 09:41:29,"{""short_code"":""5S1AZu"",""original_url"":""https://acme.dev/ivory/kernel/114""}"
115,115,360,created,2025-04-21 05:32:21,"{""short_code"":""xpLpdQ"",""original_url"":""https://seeded.app/harbor/journey/115""}"
116,116,139,created,2025-07-25 09:11:22,"{""short_code"":""u6QJ9C"",""original_url"":""https://opswise.net/brisk/river/116""}"
117,117,155,created,2025-04-16 18:57:51,"{""short_code"":""7gBYXV"",""original_url"":""https://hackstack.io/lively/uplink/117""}"
118,118,145,created,2025-09-06 20:07:01,"{""short_code"":""Oi8IKO"",""original_url"":""https://opswise.net/keen/harvest/118""}"
119,119,169,created,2026-01-26 08:56:15,"{""short_code"":""EI2I7x"",""original_url"":""https://example.com/tidy/harvest/119""}"
120,120,10,created,2025-01-11 00:41:58,"{""short_code"":""dz3ybl"",""original_url"":""https://acme.dev/keen/meadow/120""}"
121,121,31,created,2025-08-16 19:01:05,"{""short_code"":""FT8c2T"",""original_url"":""https://seeded.app/young/trail/121""}"
122,122,370,created,2025-11-05 18:02:35,"{""short_code"":""7JIdsE"",""original_url"":""https://acme.dev/keen/quartz/122""}"
123,123,107,created,2026-01-03 04:40:36,"{""short_code"":""3SUDGV"",""original_url"":""https://acme.dev/silver/harvest/123""}"
124,124,347,created,2025-03-27 21:22:22,"{""short_code"":""oGl0lu"",""original_url"":""https://acme.dev/amber/zenith/124""}"
125,125,341,created,2026-02-13 18:45:44,"{""short_code"":""zynxrM"",""original_url"":""https://relay.cloud/silver/engine/125""}"
126,126,216,created,2025-05-29 12:58:09,"{""short_code"":""6OCnT1"",""original_url"":""https://hackstack.io/gold/valley/126""}"
127,127,285,created,2025-07-22 19:40:05,"{""short_code"":""ZXwiFx"",""original_url"":""https://relay.cloud/urban/island/127""}"
128,128,337,created,2025-10-27 16:41:39,"{""short_code"":""RPh9VT"",""original_url"":""https://acme.dev/lively/network/128""}"
129,129,204,created,2026-01-22 04:43:41,"{""short_code"":""qA8hBv"",""original_url"":""https://opswise.net/cobalt/meadow/129""}"
130,130,333,created,2025-06-18 18:10:25,"{""short_code"":""eDZHsY"",""original_url"":""https://opswise.net/mellow/field/130""}"
131,131,188,created,2025-12-18 08:33:56,"{""short_code"":""DWjdEt"",""original_url"":""https://relay.cloud/young/orbit/131""}"
132,132,199,created,2025-07-11 17:49:34,"{""short_code"":""fDTYEo"",""original_url"":""https://acme.dev/forest/beacon/132""}"
133,133,95,created,2025-09-14 23:04:32,"{""short_code"":""dWQUoh"",""original_url"":""https://relay.cloud/gold/meadow/133""}"
134,134,26,created,2025-12-19 20:36:16,"{""short_code"":""h54FCZ"",""original_url"":""https://opswise.net/proud/kernel/134""}"
135,135,336,created,2025-12-07 18:34:04,"{""short_code"":""68DKrD"",""original_url"":""https://relay.cloud/rapid/orbit/135""}"
136,136,359,created,2025-05-02 01:51:15,"{""short_code"":""flKtpi"",""original_url"":""https://relay.cloud/opal/orbit/136""}"
137,137,187,created,2025-08-12 00:38:38,"{""short_code"":""K6Dfc0"",""original_url"":""https://relay.cloud/brisk/valley/137""}"
138,138,106,created,2025-08-28 01:36:19,"{""short_code"":""YbPkj0"",""original_url"":""https://hackstack.io/ivory/pioneer/138""}"
